Run 1
94.26	-38172	728528
94.02	-32248	708768
89	-72240	1.64553e+06
93	-42856	832801
96.21	-24012	460957
94.19	-45260	785240
95.25	-31888	602808
95	-32984	648261
97.44	-14472	307725
95.22	-24780	570299
88	-91032	1.77262e+06
82	-56868	1.24898e+07
94	-40036	741236
94	-36256	726114
96.01	-25612	485326
95.64	-33156	578357
88	-99100	1.8033e+06
66	-105780	3.15751e+07
94.69	-42196	703348
94.42	-36976	715470
94.74	-42336	718845
97.06	-12644	329872

Run 2
96.27	-22728	460282
94.01	-39260	733044
88	-76776	1.36362e+06
97.03	-10636	252858
96.09	-23680	461335
97.63	-11200	271657
97.54	-13004	298952
96.71	7952	393306
98.39	-3760	157090
94.13	-39356	740495
94.17	-31664	695625
97.7	7920	247546
96.12	-24528	471479
97.67	-11440	264823
88	-88352	1.61423e+06
95.08	8016	606188
96.36	-21456	441072
97.46	-13392	300499
95	7908	629671
96.06	7980	453396
90	8052	1.26476e+06

Run 3
87	7532	1.92057e+06
93.31	-47844	849198
91.33	7764	1.17215e+06
87	7648	1.90572e+06
95.1	7832	619922
94.37	-36756	703072
88	7624	1.80235e+06
92	7792	1.09305e+06
94.69	7936	676828
93.23	7948	856780
88.01	7648	1.7831e+06
88.03	7564	1.75262e+06
95	-37204	671583
95.95	-27584	515806
87	7700	1.86002e+06
90.23	7704	1.34093e+06

Run 4
97.5	-14232	300155
95	-26444	563186
95.65	-21528	503972
89.05	-83160	1.4628e+06
97.49	-12604	258987
95.97	-20360	456618
96.13	-16460	398896
96.78	-15180	361955
90.01	7812	1.28325e+06
96.04	-25712	496086
95.68	-22100	498536
91	-66948	1.17532e+06
90	-68492	1.35022e+06
97.31	-9800	267081
89	-65352	1.54858e+06
90.31	-57288	1.20278e+06
92	-50480	1.09233e+06
95.01	-26760	568830
96.56	-15708	384730

Run 5
92.99	-38636	818695
95.05	-33616	621894
93	-51368	931017
92.21	-57100	1.01662e+06
94.56	-41960	715759
90	-72860	1.37997e+06
94.69	-36548	668429
87.99	-89488	1.70606e+06
95	-35256	643709
89	-82416	1.53687e+06
93.34	-38004	808243
88	-73024	1.69011e+06
95.02	-33496	629866
91.31	-63432	1.15012e+06
95	-29364	624882
89	-66300	1.50037e+06
93	-39896	837221
93.26	-47908	885045
93	-47808	903547
92	-42604	955866
92	-55500	1.0075e+06
94	-42840	791661

